タイトル,あらすじ,ジャンル
令嬢ジョンキエール －愛と復讐の果てに－,好色な侯爵に執ように迫られた挙げ句、弄ばれた裕福な侯爵未亡人が、この気まぐれで不誠実な男を戒めようと、若く美しい娘の協力を得て復讐(ふくしゅう)を企てる。,インディーズ系ヒューマンドラマ
善きサムからの贈り物,NYでお金が必要な人たちに匿名で大金を届ける人物が現れる。1人の記者がその真意に疑問を抱き、彼の正体と動機を探り始めるが、彼女にも思わぬ幸運が訪れる。,本が原作のヒューマンドラマ
リマスター: ビクトル・ハラ,1973年、その無残な死をもって、チリが抱える問題を世界に知らしめた歌手ビクトル・ハラ。あれから数十年、許されざる残虐行為に正義の鉄ついは下されるのか。,海外ドキュメンタリー
ライフ・アズ・ファニータ,成人しても問題ばかり起こす3人の子供や人生に疲れた母親が一念発起。行き先も決めず旅に出ようと思いつき、モンタナ州のペーパームーンにたどり着く。,インディーズ系ヒューマンドラマ
母の秘密,母の葬儀で顔を合わせた4姉妹は、母が隠し持っていた驚くべき家族の秘密を知ることに。哀しみの中、4人は出生にまつわる真実探求の旅に乗り出す。,スペイン映画
幻土,シンガポールで中国人労働者が謎の失踪を遂げ、事件を追う刑事は大きな闇に足を踏み入れる。消えた男は夜も眠れず、奇妙なゲームに没頭していたというのだが…。,ミステリー
バヨネタ －不屈のカムバック－,元ボクサーのメキシコ人は消えることのない辛い記憶に苦しみながら、フィンランドで孤独に暮らしていた。過去を乗り越えるべく、男は再びリングで戦う決意をする。,中南米映画
サードアイ2,アリアが働く孤児院の少女、ナディアは、壁の中から奇妙な声がすると言う。2人は声の主を確かめようとするが、果てしない恐怖と絶望が口を開けて待っていた。,超常現象ホラー
ジョイ: 闇と光の間で,借金返済に追われる日々の中、新人の面倒を押し付けられたナイジェリア人の売春婦。その目の前に自由への近道が開けるが、それはあまりにも危険な賭けだった...。,インディーズ系ヒューマンドラマ
シェヘラザード,刑務所を出所してすぐ、若い売春婦と恋に落ちた17歳のザック。マルセイユの街角で客引きとして生計を立て始めるが、社会の荒波にもまれジレンマに直面する。,海外/ヒューマンドラマ
LIONHEART/ライオンハート,病に倒れた父親に代わり、会社経営に奔走する娘のアダエゼ。叔父の助けを借りつつ自分の力を証明しようと頑張るが、男性優位社会の厳しい現実に直面する。,インディーズ系ヒューマンドラマ
リマスター: ソロモン・リンダ,伝説的名曲「ライオンは寝ている」の生みの親、ソロモン・リンダ。彼の死後、遺族を探し出した1人の記者が、貧困にあえぐ彼らの権利のために立ち上がる。,海外ドキュメンタリー
ロック・マイ・ハート,心臓病を抱える少女の人生は、黒い暴れ馬との出会いで一変。人生を悔いなく生きたいと願う少女は、アマチュア騎手を目指し、命懸けの訓練に挑む。,青春・学園
ファイアーブランド －燃える心－,難しい離婚裁判を担当し、女性の権利のために戦い続ける有能な女弁護士。だが性的暴行の被害者であるという過去は、自らの結婚生活に暗い影を落としていた。,マラーティー語の映画
オー・マイ・マザー!,何年もの間疎遠だった母の突然の死。戸惑いと悲しみを隠せない娘に残されていたのは、莫大(ばくだい)な遺産と、財産相続の条件としての突飛な遺言...。,ダークコメディ
アフター・マリア: 見捨てられた家族,"ハリケーン""マリア""の被災者として、米国政府の援助を頼りにプエルトリコからニューヨークへ渡った3人の女性。だが、その支援が終了し、家族を抱えて途方に暮れる。",海外ドキュメンタリー
ラフ・イン・トリビュート: スターたちがお祝い!,伝説のコメディ番組「ラフ・イン」を称え、リリー・トムリン、スヌープ・ドッグ、ティファニー・ハディッシュ、ニール・パトリック・ハリス他、スターが勢ぞろい。,海外映画
音楽教師 －切ない恋のメロディ－,かつて愛し合った元教え子が、自分がずっと欲しかった名声を手に入れて華々しく帰郷すると知り、寂れた小さな町の音楽教師は罪悪感と後悔に身を焦がす。,インド映画
ペッタ! (テルグ語版),学生寮の新管理人として着任した、人当たりの良い男性。寮内の治安を維持すべく奮闘する彼だが、その過去を知る宿敵が現れ、訳ありの汚れた過去が明かされる。,ダークコメディ
泥棒はスーパーマン2 絶体絶命!?,あろうことか愛する娘の結婚相手が詐欺の犠牲者に。イスタンブール屈指の詐欺師・アシムが、賭博の世界で名をはせる腕利きのワルに立ち向かう。,海外/ヒューマンドラマ
アレクシス・ビエラ: 復活の軌跡,コロンビアで銃弾に撃たれたウルグアイ人サッカー選手、アレクシス・ビエラ。死のふちから奇跡の回復をとげた彼は、目的意識に目覚め、新たな夢を追い始める。,スポーツドキュメンタリー
8月15日 －インド独立記念日－,インドの独立記念日を祝うムンバイの団地。ささいな出来事の連鎖からすれ違う若い男女の心。そんな中、幼い男の子を窮地から救おうと、住民たちが心を1つにする。,マラーティー語の映画
MEG ザ・モンスター,200万年前に絶滅したとされるメガロドンが海底から浮上。現場を退いた潜水レスキューのプロが再び海へと呼び戻され、巨大サメと決死の攻防戦を繰り広げる。,欧米大ヒット映画
ブラックホールのすべて,未だ謎が多い宇宙の歴史、地球上の生命の誕生、そして人類の起源。すべての答えを導き出しうるブラックホールの実態と可能性を、天体物理学者達が詳細に語る。,科学・技術ドキュメンタリー
バード・ボックス,謎の闇に突き動かされた者たちが相次々と命を絶ち、人口が激減して5年。ここまで生き延びてきた母親が2人の子供を連れて、安住の地を目指す危険な旅に出る。,SFヒューマンドラマ
未知の科学,物理学から心理学まで、さまざまな分野で研究を続ける9人の科学者。その専門知識を融合させて、人類の、そして宇宙の存在そのものにまつわる大きな命題に挑む。,自然・生態系ドキュメンタリー
オーシャンズ8,仮出所した強盗、デビー・オーシャンは、世界が注目するダイヤのネックレスを盗もうと画策。7人の女達と犯罪のドリームチームを結成し、世紀の強盗作戦が始まる!,欧米大ヒット映画
アナイアレイション －全滅領域－,秘密任務から生還した夫が危篤状態に。最愛の人を救うべく、生物学者のレナは政府が封鎖した地域へと足を踏み入れる。その異様な世界で、彼女は一体何を見たのか。,SFヒューマンドラマ
パディントン2,ロンドンで幸せに暮らすパディントン。ルーシーおばさんの誕生日プレゼントにぴったりな世界にただ1冊の絵本を見つけるが、絵本がぬすまれて容疑者に...!?,コメディ
レディ・プレイヤー1,世界が荒廃し、人々がVR世界に希望を求める近未来。少年は、VR世界の全てをかけた激しい争奪戦に参加する。数々の試練を乗り越え、勝利をつかむのは一体誰だ!?,大ヒットSF・ファンタジー
ランペイジ 巨獣大乱闘,謎の化学物質を浴びた3匹の動物達は突如巨大化し、凶暴なモンスターと化した。解毒剤を探す霊長類学者は、破壊の限りを尽くす巨獣達を止めることが出来るのか?,大ヒットSF・ファンタジー
ブラック・ミラー: バンダースナッチ,1984年、ビデオゲームの開発チャンスを得た若いプログラマー。ファンタジー小説に基づくゲーム開発に取り組む中、現実とパラレルリアリティが混同し始める。,海外TV番組・ドラマ
オペレーション・フィナーレ,1960年、イスラエル諜報特務庁の諜報員たちはある重要任務につく。それは、悪名高いナチスの戦犯アドルフ・アイヒマンを捕らえること。史実に基づくドラマ。,海外/ヒューマンドラマ
クレイジー・リッチ!,里帰りする恋人に同行しシンガポールへやって来たレイチェルは、彼の実家が想像を超える大富豪だと知りびっくり。しかも、彼の母親に歓迎されていない様子...。,欧米大ヒット映画
モーグリ: ジャングルの伝説,ジャングルの奥深くで動物たちに育てられた少年が、傍若無人な天敵と自分と同じ種である人間に立ち向かう。恐れを乗り越え運命をつかんだその姿は、まさに真の勇者。,大ヒットSF・ファンタジー
7月22日,ノルウェーで発生したテロ事件。この卑劣な攻撃を生き延びた若者や悲しみに暮れる家族など国全体が、心の拠り所と正義を求めて歩み続ける。実話に基づく映画。,法廷ヒューマンドラマ
クローバーフィールド・パラドックス,地球の資源不足を解決するため、宇宙ステーションで新たなエネルギーの開発を試みる科学者たち。しかしある事故により、恐ろしい別次元の世界を目の当たりにする。,SFアクション
コードネーム エンジェル,エジプト政府高官のアシュラフ・マルワンは、自国がイスラエルとの戦争に備える中、危険を承知で、一か八かのスパイ活動に身を投じる。実話に基づく映画。,政治をテーマにしたヒューマンドラマ
バスターのバラード,荒唐無稽なものから深遠な話まで、コーエン兄弟ならではの味わいあふれるアンソロジー。アメリカ西部を駆け抜けた無法者や開拓者たちの6つの冒険物語。,ウェスタン
